Казанский кафедральный собор;Казанская пл., д. 2
Иоанно-Богословский Череменецкий мужской монастырь;188273, Ленинградская область, Лужский район, Скребловская волость, Череменец
Храм Коневской иконы Божией Матери в Санкт-Петербурге, Подворье;Загородный проспект, д. 7, лит. А
Коневский Рождество-Богородичный мужской монастырь;188767, Ленинградская обл., Приозерский р-н, почтовое отделение Владимировка, остров Коневец
Храм святого апостола и евангелиста Иоанна Богослова Санкт-Петербургской духовной академии;наб.Обводного канала, д.17
Храм Свт. Николая Чудотворца при Мариинском дворце;Исаакиевская пл., дом 6
Домовый храм свт. Димитрия митрополита Ростовского. Подворье Тихвинского монастыря;ул. Дегтярная, д. 18А
Тихвинский Богородичный Успенский мужской монастырь;187550 Ленинградская область, г. Тихвин, ул. Тихвинская д. 1
Храм мц. царицы Александры на Лермонтовском проспекте (планируется);Лермонтовский пр., д. 51а.
Храм Свт. Николая Чудотворца в пос. Рощино (строится);188820, Ленинградская обл., Выборгский р-н, пос. Рощино, ул. Советская, д. 14.
Храм Тихвинской иконы Божией Матери на улице Софьи Ковалевской;ул. Софьи Ковалевской, 9, корп. 2
Храм Христа Спасителя «Спас-на-Водах» (планируется);Юр. адрес: 190125, г. СПб., Адмиралтейский район, ул. Римского-Корсакова, д.24
Часовня прп. Серафима Вырицкого в Купчино;192284, Санкт-Петербург, Загребский бульвар, д. 26.
Храм св. равноап. вел. кн. Владимира в пос. Усть-Ижора;пос. Усть-Ижора, ул. Верхняя Ижорская, д. 50.
Храм св. блгв. вел. кн. Александра Невского в Усть-Ижоре;пос. Усть-Ижора, Шлиссельбургское шоссе, д. 217.
Часовня-храм св. блаженной Ксении Петербургской в пос. Шушары;посёлок Шушары, Пушкинская улица, дом 8
Храм Воскресения Христова в пос. Шушары;посёлок Шушары, улица Пушкинская, дом 8
Храм Преображения Господня в пос. Тярлево;г. Павловск, пос. Тярлево, ул. Спортивная, д. 2А.
Домовый храм св. прп. Серафима Саровского при ИТК-3, пос. Форносово;Ленинградская область, Тосненский район, посёлок Фарносово, ИТК-3
Храм св. мц. Параскевы Пятницы в пос. Красный Бор;пос. Красный Бор, ул. Дубровского, д. 2. Т
Храм Казанской иконы Божией Матери в пос. Войскорово.;пос. Войскорово.
Храм Свт. Николая Чудотворца в Колпино;189630, Санкт-Петербург, г. Колпино, ул. Володарского, д. 42.
Свято-Троицкий собор в Колпино;г. Колпино, ул. Пролетарская, 2
Церковь Покрова Пресвятой Богородицы при спасательном центре МЧС №346;189630, Санкт-Петербург, г. Колпино, Лагерное шоссе,55
Часовня св. прав. Иоанна Русского в Колпино;Санкт-Петербург, г. Колпино, Заводской пр., д. 1, Детская городская больница № 22.
Храм-часовня Тихвинской иконы Божией Матери при СПТУ № 1 города Колпино;189630, Санкт-Петербург, г. Колпино, ул. Загородная, д. 63. СПУ ГОУ.
Храм Свт. Николая Чудотворца на Городском кладбище в Колпино;189630, Санкт-Петербург, г. Колпино, Лагерное шоссе, городское кладбище.
Храм Вознесения Господня в Колпино;196653, Санкт-Петербург, город Колпино, проспект Ленина, д. 4/19 лит. А.
Храм Покрова Божией Матери в пос. Лесное;п/о Кондакопшино, пос. Лесное, Покровская церковь.
Домовый храм-часовня св. мц. царицы Александры при Научно-исследовательском детском ортопедическом институте им. Турнера в Царском Селе;189620, Санкт-Петербург, г. Пушкин, ул. Парковая, д. 64/68.
Храм Казанской иконы Божией Матери в пос. Александровская;196631, Санкт-Петербург, Пушкинский р-н, пос. Александровская, ул. Клин, д. 2.
Храм св. вмц. Екатерины в п. Динамо, г. Павловска;г. Павловск, п. Динамо, ул. Парковая, д. 1.
Храм-часовня св. вмч. и целителя Пантелеимона в Доме ветеранов ВОВ № 1;196623,Санкт-Петербург, г. Павловск, ул. Садовая д. 49.
Домовый храм-часовня св. вмч. и целителя Пантелеимона в Доме-интернате № 4 для детей с множественными нарушениями в Павловске;196623, Санкт-Петербург, г. Павловск, Елизаветинская ул., д. 11.
Дворцовый храм свв. апп. Петра и Павла в Павловском музее-заповеднике;196623, Санкт-Петербург, г. Павловск, ул. Садовая, д. 20.
Храм св. равноап. Марии Магдалины в Павловске;г. Павловск, ул. Садовая, д. 17.
Собор свт. Николая Чудотворца в Павловске;196621, Санкт-Петербург, г. Павловск, ул. Артиллерийская, д. 2.
Храм-часовня св. блгв. кн. Игоря Черниговского в Царском Селе;196620, СПб, г. Царское Село, ул. Московская, д.30/22
Собор во имя св. вмц. Екатерины в Царском селе;196600, СПб, Пушкинский р-н, г. Царское Село, Соборная пл., д. 1.
Храм Преображения Господня в деревне Пидьма;187756, Ленинградская обл., Подпорожский р-н, д. Пидьма, ул. Покровского, д. 51.
Часовня св. мч. Вонифатия в Центре реабилитации больных алкоголизмом «Дом надежды на Горе» в д. Перекюля;Ленинградская обл., Ломоносовский р-н, Горская волость, д. Перекюля.
Храм св. Страстотерпца царя Николая в г. Никольское;Ленинградская обл., Тосненский р-н, г. Никольское, Советский пр., д. 8.
Часовня-храм свт. Тихона, патриарха Московского, на Южном кладбище;198218, Санкт-Петербург, Волхонское шоссе, д. 1, Южное кладбище.
Храм св. вмч. и целителя Пантелеимона при горбольнице № 38 им. Семашко в Царском Селе;196600, Санкт-Петербург, г. Пушкин, Госпитальная ул., д. 7/2, лит. Е
Храм Смоленской иконы Божией Матери на подворье Софийского собора;187028, Ленинградская область, Тосненский район деревня Мыза, дом 1
Храм-часовня свт Николая Чудотворца на Казанском кладбище Царского Села;196602,Санкт-Петербург, г. Пушкин, Казанское кладбище.
Храм Казанской иконы Божией Матери на Казанском кладбище Царского Села;196602, Санкт-Петербург, г. Пушкин, Казанское кладбище.
Храм св. мч. Иулиана Тарсийского лейб-гвардии Кирасирского Его Величества полка;196602, Санкт-Петербург, г. Пушкин, Кадетский бульвар, д. 7.
Храм Покрова Пресвятой Богородицы в Невском лесопарке Всеволожского парклесхоза;Ленинградская обл., Всеволожский р-н, Невский лесопарк Всеволожского парклесхоза.
Храм Воскресения Христова в Екатерининском дворце Царского Села;189620, Санкт-Петербург, г. Пушкин, ул. Садовая, д. 7.
Храм Рождества Пресвятой Богородицы в пос. Александровская г. Сестрорецка;СПб, г. Сестрорецк, пос. Александровская, угол 5й линии и пр. Красных командиров
Храм-часовня Воскресения Христова в пос. Приветнинское в Военно-инженерно-техническом университете (ВИТУ);Ленинградская обл., Выборгский р-н, пос. Приветненское, ВИТИ
Храм свт. Николая Чудотворца в пос. Озерки;188840, Ленинградская обл., Выборгский район, Краснодолинская волость, пос. Озерки.
Храм свв. блгвв. кнн. Бориса и Глеба в пос. Агалатово;188653, Ленинградская обл., Всеволожский р-н, пос. Агалатово, Военный городок.
Храм сщмч. Вениамина в пос. Победа;188850, Ленинградская обл., Выборгский район, пос. Победа.
Храм-часовня св. вмч. Георгия Победоносца в пос. Рощино;188820, Ленинградская обл., Выборгский р-н, пос. Рощино, пансионат «Ленинградец».
Храм-часовня св. вмч. и целителя Пантелеимона в пос. Первомайское (Кивеннапа);188820, Ленинградская обл., Выборгский р-н, пос. Первомайское, на территории больницы
Храм Свт. Николая Чудотворца в пос. Рощино (Райвола);188820, Ленинградская обл., Выборгский р-н, пос. Рощино, ул. Советская, д. 14.
Храм Свт. Николая Чудотворца в пос. Левашово;пос. Левашово, ул. Володарского, д. 21.
Храм чудотворной иконы Божией Матери «Седмиезерная» в пос. Семиозерье;188823, Ленинградская обл., Выборгский район, п. Семиозерье, ул. Центральная, д. 60
Часовня св. благв. князей Бориса и Глеба на территории ГУЗ (Зеленохолмская туббольница) в пос. Зеленый Холм;Ленинградская обл., Выборгский р-н, Полянская волость, пос. Зеленый Холм.
Часовня иконы Божией Матери "Всецарица" при Центральном научно-исследовательском рентгено-радиологическом институте;189646, Санкт-Петербург, Курортный район, пос. Песочный,ул. Ленинградская , 70, на территории РНЦРХТ
Часовня свв. бессребреников и чудотворцев Космы и Дамиана на территории НИИ онкологии в Песочном;189646, Санкт-Петербург, пос. Песочный, НИИ онкологии, ул. Ленинградская, д. 68.
Храм свв. апп. Петра и Павла в Дибунах;Санкт-Петербург, пос. Дибуны, ул. Ключевая, д. 1.
Храм прп. Серафима Саровского в пос. Песочный (бывш. Графская);197758, Санкт-Петербург, пос. Песочный, ул. Ленинградская, д. 10.
Часовня свв. бесср. Космы и Дамиана в Репино;Санкт-Петербург, Приморское шоссе, д. 394. (на территории «Cronwell Park Отель»)
Часовня 2000-летия Рождества Христова в Зеленогорске;197720, Санкт-Петербург, г. Зеленогорск, пр. Ленина (у кладбища).
Храм Казанской иконы Божией Матери в Зеленогорске;197720, Санкт-Петербург, г. Зеленогорск, Приморское шоссе, д. 547.
Часовня св. блгв. вел. кн. Александра Невского на городском кладбище г. Сестрорецка;197704, Санкт-Петербург, г. Сестрорецк, Городское кладбище, ул. Володарского, д. 65.
Храм св. блаженной Ксении Петербургской при больнице №40 (реабилитация);г. Сестрорецк, больница № 40, ул. Борисова, д. 9.
Храм св. вмч. и целителя Пантелеимона в пос. Тарховка;197706 Санкт-Петербург, г. Сестрорецк, Тарховский пр., д. 32.
Храм Тихвинской иконы Божией Матери в Сестрорецке;город Сестрорецк, Привокзальная площадь.
Часовня Свт. Николая Чудотворца (в память погибших моряков-подводников Российского флота) в г. Сестрорецке;г. Сестрорецк, Петровская наб., д. 1.
Храм свв. апп. Петра и Павла в г. Сестрорецке;г. Сестрорецк, Петровская наб., д. 1.
Храм Преображения Господня в д. Горбунки;Ленинградская обл., Ломоносовский р-н, пос. Горбунки, ул. 3-й квартал, 15А
Домовый храм св. ап. Андрея Первозванного при Военно-морском институте радиоэлектроники в г. Петродворце;198514, Санкт-Петербург, Петродворец, ул. Разводная, д. 15, ВМИРЭ.
Храм свт. Спиридона Тримифунтского в Ломоносове;город Ломоносов, Иликовский проспект, дом 1
Храм Святой Троицы на Собственной Его Императорского Величества даче;Старый Петергоф, Собственный проспект, д. 84, литер В
Домовая часовня-храм свт. и исп. Луки (Войно-Ясенецкого) при Психоневрологическом интернате № 3 в Старом Петергофе;198901, Санкт-Петербург, Старый Петергоф, Заячий пр., д. 3.
Храм прп. Серафима Саровского в Старом Петергофе;город Старый Петергоф, Ораниенбаумское шоссе, дом 11
Храм св. мц. царицы Александры в д, Низино (подворье СПбДА);Ленинградская обл., Ломоносовский р-н, д. Низино, ул. Центральная, д. 59.
Храм Святой Живоначальной Троицы в г. Петродворце;город Петергоф, Бабигонское шоссе, дом 5.
Часовня свт. Николая Чудотворца, прп. Серафима Саровского и царицы Александры;город Ломоносов, улица Михайловская, дом 21.
Собор св. Архангела Михаила в г. Ломоносове (Ораниенбауме);город Ломоносов, Дворцовый проспект, дом 61
Храм-часовня Рождества Пресвятой Богородицы (входит в комплекс проекта «Русская Деревня Шуваловка»);Санкт-Петербургское шоссе, дом 111, между Стрельной и г. Петродворцом.
Храм-часовня свв. мчч. Хрисанфа и Дарии при Военно-транспортном университете железнодорожных войск РФ;198511, Санкт-Петербург, г. Петергоф, ул. Суворовская, д. 1.
Домовый храм св. бл. Ксении Петербургской при Психоневрологическом интернате № 2;Санкт-Петербург, Стрельна, Санкт-Петербургское шоссе, д. 130.
Храм прп. Макария Египетского при Санкт-Петербургском Государственном горном институте (Техническом университете);199106, г. Санкт-Петербург, 21-я линия, д.2
Домовый храм Покрова Пресвятой Богородицы в Высшей школе народных искусств (институте);191186, г. Санкт-Петербург, наб. кан. Грибоедова, д. 2
Домовый храм Святой Живоначальной Троицы при Академии Русского балета им. А.Я. Вагановой;ул. Зодчего Росси, д.2
Храм св. равноап. царицы Елены на Кирочной (при СЗГМУ имени И.И. Мечникова);ул. Кирочная, д.41В
Домовый храм Прп. Сергия Радонежского в школе-интернате № 24;189630. г. Санкт-Петербург, ул. Новоселов, д.11
Часовня свт. Спиридона Тримифунтского;199034, Санкт-Петербург, В. О., Большой пр., д. 67-а.
Храм св. вмц. Екатерины в Академии Художеств;199034, г. Санкт-Петербург, Университетская наб., д.17
Храм св. блгв. вел. кн. Александра Невского при Государственном университете путей сообщения;190031, г Санкт-Петербург, Московский пр. д.9
Домовый храм св. блгв. вел. кн. Александра Невского в школе № 138;189630,Санкт-Петербург, Полюстровский пр., д. 33, корп. 3, школа № 138.
Храм свв. апп. Петра и Павла при Российском Государственном педагогическом университете имени А. И. Герцена;улица Гороховая, дом 18, корпус 20 (наб. реки Мойки, д.48)
Храм-часовня св. ап. и ев. Луки на Соляном переулке в Санкт-Петербургской Государственной Художественно-промышленной академии;191028, г. Санкт-Петербург, Соляной переулок, д.13
Храм свв. апп. Петра и Павла в Санкт-Петербургской Академии постдипломного педагогического образования;91002, г. Санкт-Петербург, ул. Ломоносова, д.11
Храм свв. Страстотерпцев Царя Николая и Царицы Александры на ул. Литовской (при СПбГПМА);194100, г. Санкт-Петербург, ул. Литовская, д.2
Храм Покрова Пресвятой Богородицы при Санкт-Петербургском Государственном политехническом университете;Политехническая ул., д.29
Храм свв. апп. Петра и Павла при Санкт-Петербургском государственном университете;199034, г. Санкт-Петербург, В.О., Университетская наб., д.7/9
Часовня сщмч. Вениамина Петроградского при Санкт-Петербургской государственной медицинской Академии им. И. И. Мечникова. (проектируется);195067, г. Санкт-Петербург, Пискаревский пр., д.47, парк.
Храм во имя свв. Иоанна Кронштадтского и Марии Магдалины на проспекте Косыгина;пр. Косыгина, 7А, Санкт-Петербург, 195426
Храм Покрова Божией Матери на пр.Косыгина;Санкт-Петербург, пр. Косыгина, кв. 49, уч. 61 Ржевка-Пороховые
Храм свв. апп. Петра и Павла при Санкт-Петербургской государственной медицинской академии им. И. И. Мечникова и больнице Императора Петра Великого (Пискаревский пр.);195067, г. Санкт-Петербург, Пискаревский пр., д.47, корп. 22
Храм Архистратига Божия Михаила и прочих Небесных Сил бесплотных на Долгоозерной улице;ул. Долгоозерная дом 17, литера А
Храм свт. Николая Чудотворца на Коломяжском проспекте;Коломяжский пр., д. 13.
Храм Свт. Николая Чудотворца на Северном кладбище;194902, Санкт-Петербург, Парголово, Северное кладбище.
Храм Успения Пресвятой Богородицы на Северном кладбище;194294, Санкт-Петербург, пос. Парголово, Северное кладбище, д. 3.
Храм свт. Василия Великого в Осиновой Роще;пос. Осиновая Роща, ул.Колхозная, дом 4
Храм св. равноап. вел. кн. Владимира в пос. Лисий Нос;197755, Санкт-Петербург, пос. Лисий Нос, Балтийский пр., д. 37.
Домовая часовня-храм св. прмц. вел. кн. Елисаветы при хосписе № 1 в Лахте;197229, г. Санкт-Петербург, пос. Лахта, Лахтинский пр., д. 98, лит. Ж, Хоспис № 1
Храм св. ап. Петра в Лахте;Лахтинский пр., д. 94.
Храм свт. Иоасафа Белгородского в Парголово;ул. Ленина, д.6
Часовня свщисп. Тихона, патриарха Московского и Всея Руси, при Территориальном центре социального обслуживания пенсионеров и инвалидов № 1;ул. Поклонногорская, д. 52.
Храм св. вмч. Пантелеимона в Удельной;19434, Санкт-Петербург, Фермское шоссе, д. 38.
Храм Благовещения Пресвятой Богородицы на Приморском проспекте;197183, Санкт-Петербург, Приморский пр., д. 79.
Храм прп. Серафима Саровского на Серафимовском кладбище;Серебряков пер., д. 1 (Серафимовское кладбище).
Храм свв. апп. Петра и Павла в Парголово;194902, Санкт-Петербург, Парголово, Шуваловский парк, д. 41.
Храм святого князя Александра Невского в Шувалово;Выборгское шоссе, д. 106.
Храм Спаса Нерукотворного Образа в Парголово;194358, г. Санкт-Петербург, Выборгский р-н, Выборгское шоссе, д.106-а
Храм св. мч. Татианы на Коломяжском проспекте;197348 Санкт-Петербург, Коломяжский пр., д. 15. к. 3, лит. А
Часовня св. блгв. кн. Александра Невского;194214, Санкт-Петербург, Коломяги, 1-я Никитинская ул., д. 14.
Храм св. прмц. Евгении;197341, Санкт-Петербург, Коломяги, ул. 1-я Никитинская, д. 1.
Храм св. вмч. и целителя Пантелеимона в пос. Ганино;Ленинградская обл., Выборгский р-н, пос. Ганино.
Храм св. вмч. Димитрия Солунского в Коломягах;улица 1-я Никитинская, дом 1а.
Храм иконы Божией Матери «Утоли моя печали» на Боткинской улице;ул. Боткинская, д. 17
Домовый храм св. блгв. кн. Александра Невского при Православной гимназии св. блгв. кн. Александра Невского;ул. Тельмана, д.48, корп.2, лит. А
Храм святых праведных Богоотец Иоакима и Анны на пр. Науки;пр. Науки, д. 22, корп. 2.
Храм св. первоверх. ап. Петра в Веселом Поселке;193318, г. Санкт-Петербург, Невский район, Искровский пр. д.11
Храм Преображения Господня в Лесном;194223, Санкт-Петербург, Выборгский район, ул. Орбели, д.25, Литер А.
Собор прп. Сампсона Странноприимца (Сампсониевский);194044, г. СПб, Выборгский район, Б. Сампсониевский пр., д.41
Храм св. блгв. Александра Невского в ФКУ «Колония-поселение №8» УФСИН России по г. Санкт-Петербургу и Ленинградской области;Арсенальная наб., д. 7.
Храм святителя Николая Чудотворца на ул. Лебедева;ул. Академика Лебедева, д. 37а.
Храм Сретения Господня на Гражданском проспекте;Гражданский проспект, дом 101
Часовня св. прав. Феодора Ушакова при Морском колледже;193168, Санкт-Петербург, Дальневосточный пр., д. 26.
Храм-часовня иконы Божией Матери «Утоли Моя Печали»;193231, г. Санкт-Петербург, Невский р-н, ул. Коллонтай, д.21.
Храм Рождества Христова на улице Коллонтай;улица Коллонтай, д.21/1
Храм Рождества Пресвятой Богородицы на Малой Охте;195213, Санкт-Петербург, Заневский пр., д. 65 лит. А.
Храм-часовня св. равноап. Марии Магдалины на Малоохтинском пр.;195112, Санкт-Петербург, Малоохтинский пр., д. 52a.
Храм Успения Пресвятой Богородицы на Малой Охте;195112, Санкт-Петербург, Малоохтинский пр., д. 52.
Часовня блаж. Клеопатры;Северный пр., д. 1.
Часовня во имя мч. Уара при гор. больнице № 2;194291, г Санкт-Петербург, Выборгский район, Учебный пер., д.5, при морге
Храм Святой Троицы при Александровской больнице;пр. Солидарности, д. 4.
Храм Феодоровской иконы Божией Матери при Региональном Общественном фонде «Офицерское собрание» на Поклонной горе;Строит. адрес: 194354, Санкт-Петербург, пересечение Северного пр. и пр. Мориса Тореза.
Храм св. вмч. Георгия Победоносца при больнице Св. Георгия;Северный проспект, д. 1 (в цокольном этаже больницы)
Часовня св. равноап. кн. Ольги (при филиале детской больницы св. Ольги);194017, Санкт-Петербург, ул. Гаврская, д. 4.
Часовня свв. мчч. Вифлеемских (при Родильном доме СПбГМУ им. акад. Павлова, кафедра акушерства и гинекологии);Санкт-Петербург, Петроградский р-н, ул. Л. Толстого, д. 6/8, СПбГМУ.
Домовый храм св. вмч. Георгия Победоносца при центре содействия семейному воспитанию № 15;ул. Бухарестская, д. 63
Домовый храм Прп. Сергия Радонежского при Больнице Российской Академии наук;194017, Санкт-Петербург, пр. Мориса Тореза, д. 72.
Храм Державной иконы Божией Матери на пр. Культуры;пр. Культуры, д. 4, к. 3
Храм св. равноап. княгини Ольги (при Дорожной клинической больнице);195271, Санкт-Петербург, пр. Мечникова, д. 27.
Храм св. ап. и ев. Иоанна Богослова (на Богословском кладбище);Богословское кладбище, ул. Мечникова, д. 31-а
Храм Иверской иконы Божией Матери при психоневрологическом интернате № 10.;улица Коллонтай, дом 38
Храм иконы Божией Матери «Всех скорбящих Радость» при Психоневрологическом интернате № 10;193318, Санкт-Петербург, ул. Коллонтай, д. 36.
Храм иконы Божией Матери «Неопалимая Купина»;195009, Санкт-Петербург, Выборгский район, Лесной пр., д. 17
Часовня Благовещения Пресвятой Богородицы на Пискаревском проспекте;195067, Санкт-Петербург, Пискаревский пр., д. 41.
Храм Благовещения Пресвятой Богородицы (Пискаревский);195067, Санкт-Петербург, Пискаревский пр., д. 41.
Храм свт. Николая Чудотворца (Большеохтинский);195027, Санкт-Петербург, пр. Металлистов, д. 5.
Храм иконы Божией Матери «Всецарица» в хосписе № 4;195257, Санкт-Петербург, Светлановский пр., д. 85.
Храм прп. Серафима Саровского при ИТК-20/7 в Яблоневке;Санкт-Петербург, ул. Латышских Стрелков, д. 22.
Домовый храм св. прав. Иоанна Кронштадтского в Православном Центре духовного возрождения;Лесной проспект, д.59, корп.7
Храм св. Пророка Илии на Пороховых;Ильинская слобода, д. 4.
Храм Всех святых, в земле Санкт-Петербургской просиявших (на берегу р. Новой);ул. Бурцева дом 21, кор.3
Храм свв. Царственных Страстотерпцев на проспекте Ветеранов (берег р. Новой) (строится);ул. Бурцева, дом 21, кор.3, лит. А
Храм Всех святых в Земле Русской просиявших в Московском парке Победы;Бассейная ул., д. 26, лит. А.
Храм-часовня Преображения Господня на Преображенском кладбище (им. 9 января);г. Санкт-Петербург, Фрунзенский р-н, Преображенское кладбище.
Храм-часовня Покрова Пресвятой Богородицы;г. СПб., Невский р-н, Рыбацкий пр., д.12, литер А.
Храм Рождества Пресвятой Богородицы в Рыбацком;192076, г. Санкт-Петербург, Невский р-н, Рыбацкий пр., д. 28
Храм Державной иконы Божией Матери на пр. Маршала Жукова;пр. Маршала Жукова, дом 60, кор.1, лит.Б, 2-й этаж
Храм свт. Николая Чудотворца и мц. царицы Александры (Путиловский);198097, Санкт-Петербург, пр. Стачек, д. 48.
Домовый храм иконы Божией Матери «Неупиваемая Чаша» при заводе АТИ;196084, Санкт-Петербург, Цветочная ул., д. 16.
Храм прп. Серафима Вырицкого в Купчино;192284, Санкт-Петербург, Загребский бульвар, д. 26.
Храм св. прав. Иоанна Кронштадтского на Кронштадтской площади;Кронштадтская площадь, дом 2 (угол Ленинского пр. и пр. Стачек).
Храм свт. Петра, митрополита Московского на пр.Стачек;проспект Стачек, дом 208.
Храм св. вмч. Георгия Победоносца в Купчино;192238, г. Санкт-Петербург, Фрунзенский р-н, пр. Славы, д.45
Храм Казанской иконы Божией Матери у Красненького кладбища;Санкт-Петербург, проспект Стачек, дом 98, корпус 2
Храм Святителя Николая Чудотворца на станции Предпортовая;196240, Санкт-Петербург, ул. Предпортовая, д.1 лит.А.
Домовый храм св. прпп. Сергия и Германа, Валаамских Чудотворцев, при детском доме № 31;196244, Санкт-Петербург, пр. Космонавтов, д. 18.
Храм Рождества святого Иоанна Предтечи («Чесменский»);ул. Ленсовета, д. 12.
Часовня свв. Царственных Страстотерпцев на Средней Рогатке;196244, г. Санкт-Петербург, пр. Космонавтов, д.18
Храм Рождества Христова на Средней Рогатке;Московское шоссе, д. 3.
Храм св. вмч. Георгия Победоносца на Средней Рогатке;196158, Санкт-Петербург, Московское шоссе, д. 3.
Храм прп. Сергия Радонежского на Средней Рогатке;Московское шоссе, д. 3.
Часовня св. вмч. и целителя Пантелеимона при НИИ скорой помощи им. Джанелидзе;192242, Санкт-Петербург, ул. Будапештская, д. 3/5.
Храм Святой Троицы «Кулич и Пасха»;пр. Обуховской обороны, д.235
Храм Покрова Пресвятой Богородицы при Юсуповском дворце;наб. р. Мойки, д. 94.
Домовый храм Покрова Пресвятой Богородицы при школе Народного Искусства имп. Александры Феодоровны;ул. Витебская, д. 6.
Храм иконы Божией Матери «Всех скорбящих Радость» на площади Труда;площадь Труда, д. 4.
Часовня Свт. Николая Чудотворца;190125, Санкт-Петербург, пр. Римского-Корсакова, д. 24. (вход с Лермонтовского проспекта)
Храм сщмч. Исидора Юрьевского (Свято-Исидоровский);пр. Римского-Корсакова, д. 24.
Артиллерийский храм Воскресения Словущего при Суворовском военном училище;Московский пр., д. 17
Часовня св. мц. царицы Александры на Лермонтовском проспекте;Лермонтовский пр., д. 51а.
Домовый храм св. блгв. вел. кн. Александра Невского при ТМО по психиатрии № 5;198005, Санкт-Петербург, наб. р. Фонтанки, д. 132.
Часовня в память чудесного спасения царской семьи при крушении поезда в Борках;Измайловский пр., дом 4-а
Храм-часовня во имя Всемилостивого Спаса на Сенной;Сенная пл., ул. Ефимова, дом 2, лит.Ч
Храм Воскресения Христова у Варшавского вокзала;наб. Обводного канала, д. 116.
Храм-часовня Святой Троицы;Троицкая площадь, 2а.
Храм Спаса Преображения Господня лейб-гвардии Гренадерского полка;197376, Санкт-Петербург, ул. Инструментальная, д. 3а, лит. А.
Храм святой блаженной Ксении Петербургской на ул. Лахтинской;ул. Лахтинская, между домами 15 и 19
Храм иконы Божией Матери «Милующая» ("Достойно есть") в Галерной гавани;Большой пр. В. О., д. 100. Вход через КПП (по паспорту) только во время работы храма.
Храм св. мч. Иоанна Воина при Воспитательно-трудовой детской колонии в г. Колпино;196655, Санкт-Петербург, г.Колпино, ул. Севастьянова, 49.
Часовня свт. Иоасафа Белгородского в Детской инфекционной больнице № 3;Факт. адрес: В. О., 23-я линия, д. 16.
Домовый храм прмц. Елисаветы Феодоровны в Городской больнице № 8;Санкт-Петербург, ул. Моховая, д. 1.
Домовый храм св. вмц. Анастасии Узорешительницы на Васильевском острове;набережная Лейтенанта Шмидта, дом 39
Часовня Благовещения Пресвятой Богородицы на Васильевском острове (восстанавливается);В.О., 8-я линия, д. 67
Храм Благовещения Пресвятой Богородицы на Васильевском острове;В. О., 7-я линия, д. 68
Храм св. вмц. Екатерины на Васильевском острове;Адрес: 199053, г. Санкт-Петербург, Василеостровский р-н, В.О., Кадетская линия, д.27а
Часовня иконы Божией Матери «Всецарица» при Городском клиническом онкологическом диспансере.;Санкт-Петербург, 2-я Берёзовая аллея, д. 3/5
Часовня св. Иоанна Предтечи при Институте мозга человека РАН;197022, Санкт-Петербург, ул. Академика Павлова, д. 12а.
Часовня св. вмч. Георгия Победоносца в Доме ветеранов войны № 2;197110, Санкт-Петербург, ул. Вязовая, д. 13.
Часовня иконы Божией Матери «Всецарица» на Каменном острове;197022, Санкт-Петербург, Каменноостровский пр., д. 85.
Храм Рождества Иоанна Предтечи на Каменном острове;197022, Санкт-Петербург, Каменноостровский пр., д. 83.
Часовня св. равноап. вел. кн. Владимира;199004, г. Санкт-Петербург, Василеостровский р-н, В.О., 6-ая линия, 11, литер Г
Храм Трех святителей вселенских на Васильевском Острове;199004, Санкт-Петербург, В. О., 6-я линия, д. 11-б.
Собор св. ап. Андрея Первозванного на Васильевском острове;В. О., 6-я линия, д. 11а.
Домовый храм Рождества Пресвятой Богородицы на Менделеевской линии (при НИИ акушерства, гинекологии и репродуктологии им. Д. О. Отта);199034, Санкт-Петербург, В. О., Менделеевская линия, д. 3.
Храм-часовня свт. Тихона, епископа Задонского, при ИТК-6, пос. Обухово;Санкт-Петербург, пос. Обухово, Грузовой проезд, д. 6.
Часовня иконы Божией Матери «Всех скорбящих Радость» (с грошиками);197101, Санкт-Петербург, ул. Воскова, д. 1
Домовый храм свв. бесср. Космы и Дамиана, в Риме пострадавших, при ГУЗ «Городская больница № 31»;197110, Санкт-Петербург, ул. Динамо, д. 3.
Храм Воскресения Христова на Васильевском острове;199048, Санкт-Петербург, ул. Камская, д. 11.
Часовня св. блаж. Ксении на Смоленском кладбище;В. 0., ул. Камская, д. 24.
